Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
88;Lecce;ITA;17;11;1;5;5;9;14;-5;8;0.73;7.9;12.7;-4.7;-0.47;19212;Gabriel Strefezza - 4;Wladimiro Falcone
89;Stuttgart;GER;16;11;1;5;5;13;20;-7;8;0.73;13.5;16;-2.5;-0.23;46192;Silas Katompa - 3;Florian Müller
90;Ajaccio;FRA;19;12;2;2;8;8;19;-11;8;0.67;11.2;14.9;-3.6;-0.3;6470;Mounaim El Idrissy - 2;Benjamin Leroy
91;Angers;FRA;20;12;2;2;8;14;29;-15;8;0.67;16.1;18.3;-2.1;-0.18;8629;Adrien Hunou Amine Salama... - 3;Paul Bernardoni
92;Cádiz;ESP;19;11;1;4;6;5;22;-17;7;0.64;7.8;20.6;-12.8;-1.16;17287;Álex Fernández Lucas Pérez... - 1;Jeremías Ledesma
93;Bochum;GER;17;11;2;1;8;11;28;-17;7;0.64;10.1;24.4;-14.2;-1.29;25337;Simon Zoller Philipp Hofmann - 3;Manuel Riemann
94;Schalke 04;GER;18;11;1;3;7;11;26;-15;6;0.55;12;17;-5;-0.5;61344;Marius Bülter - 3;Alexander Schwolow
95;Hellas Verona;ITA;18;10;1;2;7;9;19;-10;5;0.5;10.4;15.1;-4.7;-0.47;17601;Josh Doig Thomas Henry - 2;Lorenzo Montipò
96;Cremonese;ITA;19;10;0;4;6;9;21;-12;4;0.4;10.5;21.5;-11;-1.1;11977;David Okereke Cyriel Dessers - 2;Ionu? Radu
97;Elche;ESP;20;11;0;4;7;8;26;-18;4;0.36;7.2;25.2;-18;-1.63;22486;Pere Milla - 3;Édgar Badía
98;Sampdoria;ITA;20;10;0;3;7;5;18;-13;3;0.3;7.9;14.7;-6.7;-0.67;18162;Filip ?uri?i? - 2;Emil Audero
